Bay,lat,lon,dx,dy,dx_m,dy_m
Agripina,57.1132,-156.4796,0,0.1,23000,0
ALB,57.8615,-152.6404,0,-0.775,40000,30000
Balboa,55.5775,-160.5981,0,-1,-200000,55000
Baralof,55.2311,-160.5681,-0.02,-1.05,-250000,-10000
Chief Cove,57.7043,-153.9103,0,-1.42,-150000,30000
Cook,57.7815,-152.2482,0,0.1,40000,0
Falmouth,55.0639,-160.1177,0,0.1,30000,0
Fox,55.6163,-159.6531,0,0.15,30000,0
Japanese,56.9531,-153.685,0,0.1,20000,-10000
Kaiugnak,57.0536,-153.6529,0,0.1,30000,0
Kiliuda,57.3222,-152.9133,0,0.1,40000,0
Mitrofania,55.9819,-158.6965,0,0.1,40000,0
Pt Wrangell,57.0492,-156.6116,0,-1.7,-50000,-70000
Rodmans Reach,56.8787,-154.2463,0,-1.8,25000,-30000
Sand Point,55.3201,-160.524,0.15,0.05,20000,5000
