Date,Month,Day,Year,J_date,set,Site,Species,Length,weight,hatch.wild,oto.read,hatch.site,freezer.num,origin.certain,Fultons.K,km_travel,days_at_sea
6/12/2022,June,12,2022,163,372,Lam North,pink salmon,52,1.0541,hatchery,y,Kitoi-KRAA,22-02,y,0.749672849,46.3,19
7/2/2022,July,2,2022,183,380,.,pink salmon,70,3.3889,hatchery,y,PWSAC,22-08,y,0.988017493,463.0,58
7/2/2022,July,2,2022,183,380,.,pink salmon,74,3.0395,hatchery,y,VFDA,22-06,y,0.750078969,629.7,37
7/2/2022,July,2,2022,183,376,.,pink salmon,78,3.5923,hatchery,y,CIAA,22-16,y,0.756987643,574.1,34
7/4/2022,July,4,2022,185,381,.,pink salmon,55,1.2328,hatchery,y,CIAA,22-76,y,0.740976709,722.3,36
7/4/2022,July,4,2022,185,383,.,pink salmon,63,1.842,hatchery,y,Kitoi-KRAA,22-154,y,0.736661508,324.1,41
7/4/2022,July,4,2022,185,383,.,pink salmon,63,2.1857,hatchery,y,Kitoi-KRAA,22-145,y,0.874115666,324.1,41
7/4/2022,July,4,2022,185,383,.,pink salmon,68,2.2777,hatchery,y,Kitoi-KRAA,22-147,y,0.724385559,324.1,41
7/4/2022,July,4,2022,185,385,.,pink salmon,54,1.4281,hatchery,y,PWSAC,22-109,y,0.906937459,601.9,60
7/4/2022,July,4,2022,185,383,.,pink salmon,58,1.5612,hatchery,y,PWSAC,22-136,y,0.800155808,601.9,60
7/4/2022,July,4,2022,185,381,.,pink salmon,60,1.7025,hatchery,y,PWSAC,22-80,y,0.788194444,601.9,60
7/4/2022,July,4,2022,185,383,.,pink salmon,62,1.8541,hatchery,y,PWSAC,22-150,y,0.777961465,601.9,60
7/4/2022,July,4,2022,185,385,.,pink salmon,47,0.9844,hatchery,y,unsure,22-121,y,0.948152144,.,.
7/4/2022,July,4,2022,185,383,.,pink salmon,50,0.8673,hatchery,y,VFDA,22-146,y,0.69384,768.6,59
7/4/2022,July,4,2022,185,383,.,pink salmon,66,2.1414,hatchery,y,VFDA,22-149,y,0.744845146,768.6,59
7/6/2022,July,6,2022,187,388,.,pink salmon,42,0.6109,hatchery,y,unsure,22-74,y,0.824559983,.,.
7/6/2022,July,6,2022,187,389,.,pink salmon,64,1.8369,hatchery,y,unsure,22-67,y,0.700721741,.,.
7/8/2022,July,8,2022,189,396,.,pink salmon,55,1.7187,hatchery,y,VFDA,22-106,y,1.033027799,981.6,43
7/8/2022,July,8,2022,189,396,.,pink salmon,56,1.914,hatchery,y,Kitoi-KRAA,22-107,y,1.089877915,518.6,45
7/8/2022,July,8,2022,189,396,.,pink salmon,58,1.9064,hatchery,y,Kitoi-KRAA,22-102,y,0.977079831,518.6,45
7/8/2022,July,8,2022,189,396,.,pink salmon,62,2.4546,hatchery,y,unsure,22-103,y,1.029925145,.,.
7/10/2022,July,10,2022,191,400,.,pink salmon,50,1.1991,hatchery,y,VFDA,22-46,y,0.95928,1092.7,45
7/10/2022,July,10,2022,191,398,.,pink salmon,59,1.4981,hatchery,y,PWSAC,22-91,y,0.729431928,907.5,66
7/10/2022,July,10,2022,191,400,.,pink salmon,61,1.7241,hatchery,y,Kitoi-KRAA,22-43,y,0.759578996,611.2,47
7/10/2022,July,10,2022,191,398,.,pink salmon,62,1.9775,hatchery,y,PWSAC,22-97,y,0.829738847,907.5,66
7/10/2022,July,10,2022,191,401,.,pink salmon,65,2.3007,hatchery,y,PSWAC,22-32,y,0.837760583,907.5,66
7/10/2022,July,10,2022,191,399,.,pink salmon,66,2.1345,hatchery,y,Kitoi-KRAA,22-57,y,0.742445112,611.2,47
7/10/2022,July,10,2022,191,399,.,pink salmon,73,2.6692,hatchery,y,VFDA,22-56,y,0.68613968,1092.7,45
7/10/2022,July,10,2022,191,401,.,pink salmon,73,2.9707,hatchery,y,unsure,22-36,y,0.76364272,.,.
7/10/2022,July,10,2022,191,398,.,pink salmon,74,2.8241,hatchery,y,Kitoi-KRAA,22-86,y,0.696923183,611.2,47
7/13/2022,July,13,2022,194,.,Lam #2,pink salmon,74,2.956,hatchery,y,Kitoi-KRAA,22-198,y,0.729473082,46.3,50
7/14/2022,July,14,2022,195,.,Lam #1,pink salmon,65,1.8471,hatchery,y,Kitoi-KRAA,22-214,y,0.672589895,46.3,50
7/14/2022,July,14,2022,195,.,Lam #1,pink salmon,69,2.6304,hatchery,y,Kitoi-KRAA,22-217,y,0.800708656,46.3,50
7/14/2022,July,14,2022,195,.,Lam #1,pink salmon,77,3.5201,hatchery,y,Kitoi-KRAA,22-178,y,0.771050505,46.3,50
7/15/2022,July,15,2022,196,411,.,pink salmon,59,1.6522,hatchery,y,CIAA,22-23,y,0.804463942,1064.9,47
7/15/2022,July,15,2022,196,411,.,pink salmon,60,1.8812,hatchery,y,Kitoi-KRAA,22-20,y,0.870925926,694.5,52
7/15/2022,July,15,2022,196,415,.,pink salmon,65,2.19545,hatchery,y,unsure,22-09,y,0.799435594,.,.
7/16/2022,July,16,2022,197,.,Middle Cove,pink salmon,78,4.6762,hatchery,y,Kitoi-KRAA,22-164,y,0.985392539,46.3,53
7/25/2022,July,25,2022,206,421,.,pink salmon,80,4.0072,hatchery,y,Kitoi-KRAA,22-03,y,0.78265625,277.8,62
8/4/2022,Aug,4,2022,216,439,.,pink salmon,54,1.3195,hatchery,y,PWSAC,22-13,y,0.837969314,407.4,91
8/4/2022,Aug,4,2022,216,439,.,pink salmon,69,2.772,hatchery,y,PWSAC,22-12,y,0.843812498,407.4,91
6/5/2023,June,5,2023,156,468,Lam North,pink salmon,60,2.104,hatchery,y,Kitoi-KRAA,23-008,y,0.974074074,46.3,11
7/1/2023,July,1,2023,182,475,.,pink salmon,68,2.6975,hatchery,y,PORTGRAHAM22A,093-23,y,0.857896143,305.6,18
7/5/2023,July,5,2023,186,485,.,pink salmon,77,3.5817,hatchery,y,Kitoi-KRAA,181-23,y,0.784543505,277.8,41
7/9/2023,July,5,2023,186,496,.,pink salmon,45,0.686,hatchery,y,Kitoi-KRAA,080-23,y,0.752812071,333.4,45
7/13/2023,July,13,2023,194,498,.,pink salmon,64,2.3646,hatchery,y,Kitoi-KRAA,073-23,y,0.902023315,518.6,49
7/15/2023,July,15,2023,196,.,Backbay Lam #2,pink salmon,62,2.2458,hatchery,y,Kitoi-KRAA,024-23,y,0.942314793,46.3,51
7/15/2023,July,15,2023,196,.,Backbay Lam #2,pink salmon,70,3.0537,hatchery,y,Kitoi-KRAA,023-23,y,0.890291545,46.3,51
7/15/2023,July,15,2023,196,.,Wooden Boat,pink salmon,73,3.5065,hatchery,y,Kitoi-KRAA,060-23,y,0.90137449,46.3,51
7/15/2023,July,15,2023,196,.,Wooden Boat,pink salmon,75,3.3919,hatchery,y,Kitoi-KRAA,062-23,y,0.804005926,46.3,51
8/17/2023,Aug,17,2023,229,.,Backbay Lam #2,pink salmon,76,3.8263,hatchery,y,Kitoi-KRAA,048-23,y,0.871642185,46.3,84
8/17/2023,Aug,17,2023,229,.,Backbay Lam #2,pink salmon,85,4.9999,hatchery,y,Kitoi-KRAA,036-23,y,0.814150214,46.3,84
8/17/2023,Aug,17,2023,229,.,Backbay Lam #2,pink salmon,85,5.4885,hatchery,y,Kitoi-KRAA,040-23,y,0.893710564,46.3,84
8/17/2023,Aug,17,2023,229,.,Backbay Lam #2,pink salmon,85,5.7662,hatchery,y,Kitoi-KRAA,044-23,y,0.938929371,46.3,84
8/17/2023,Aug,17,2023,229,.,Backbay Lam #2,pink salmon,87,5.7966,hatchery,y,Kitoi-KRAA,034-23,y,0.880269338,46.3,84
8/18/2023,Aug,18,2023,230,.,Backbay Lam #2,pink salmon,75,3.8146,hatchery,y,Kitoi-KRAA,019-23,y,0.904201481,46.3,84
8/18/2023,Aug,18,2023,230,.,Lam Point,pink salmon,82,4.8383,hatchery,y,Kitoi-KRAA,016-23,y,0.877508307,46.3,84
8/18/2023,Aug,18,2023,230,.,Lam Point,pink salmon,82,5.5732,hatchery,y,Kitoi-KRAA,014-23,y,1.010794968,46.3,84
8/18/2023,Aug,18,2023,230,.,Lam Point,pink salmon,85,5.681,hatchery,y,Kitoi-KRAA,017-23,y,0.925055974,46.3,84
8/19/2023,Aug,19,2023,231,.,Lam North,pink salmon,65,2.3686,hatchery,y,Kitoi-KRAA,012-23,y,0.862485207,46.3,84
