Bay,Area,Date,Month,Day,Year,J_date,Length,weight,hatch.site,growth_rate,per_ growth,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,83,4.4,Kitoi-KRAA,0.052,5.2,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,85,6,Kitoi-KRAA,0.052,5.2,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,102,10.9,Kitoi-KRAA,0.054,5.4,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,105,11.4,Kitoi-KRAA,0.054,5.4,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,126,21.6,Kitoi-KRAA,0.056,5.6,,
ALB,Kodiak,8/22/2021,Aug,22,2021,234,140,32,Kitoi-KRAA,0.057,5.7,,
Cook,Kodiak,8/21/2021,Aug,21,2021,233,84,5.3,Kitoi-KRAA,0.052,5.2,,
Cook,Kodiak,8/21/2021,Aug,21,2021,233,85,5.6,Kitoi-KRAA,0.052,5.2,,
Cook,Kodiak,8/21/2021,Aug,21,2021,233,90,6.8,Kitoi-KRAA,0.053,5.3,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,50,0.8673,VFDA,0.079,7.9,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,55,1.2328,CIAA,0.138,13.8,,
Baralof,Shumagin,7/15/2022,July,15,2022,196,59,1.6522,CIAA,0.107,10.7,,
Chief Cove,Shelikof,7/2/2022,July,2,2022,183,78,3.5923,CIAA,0.157,15.7,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,63,1.842,Kitoi-KRAA,0.113,11.3,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,63,2.1857,Kitoi-KRAA,0.113,11.3,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,68,2.2777,Kitoi-KRAA,0.115,11.5,,
ALB,Kodiak,7/13/2022,July,13,2022,194,74,2.956,Kitoi-KRAA,0.096,9.6,,
ALB,Kodiak,7/14/2022,July,14,2022,195,65,1.8471,Kitoi-KRAA,0.092,9.2,,
ALB,Kodiak,7/14/2022,July,14,2022,195,69,2.6304,Kitoi-KRAA,0.093,9.3,,
ALB,Kodiak,7/14/2022,July,14,2022,195,77,3.5201,Kitoi-KRAA,0.095,9.5,,
Baralof,Shumagin,7/15/2022,July,15,2022,196,60,1.8812,Kitoi-KRAA,0.088,8.8,,
Cook,Kodiak,6/12/2022,June,12,2022,163,52,1.0541,Kitoi-KRAA,0.234,23.4,,
Cook,Kodiak,7/16/2022,July,16,2022,197,78,4.6762,Kitoi-KRAA,0.092,9.2,,
Fox,Peninsula,7/10/2022,July,10,2022,191,61,1.7241,Kitoi-KRAA,0.098,9.8,,
Fox,Peninsula,7/10/2022,July,10,2022,191,66,2.1345,Kitoi-KRAA,0.100,10.0,,
Fox,Peninsula,7/10/2022,July,10,2022,191,74,2.8241,Kitoi-KRAA,0.102,10.2,,
Mitro,Peninsula,7/8/2022,July,8,2022,189,56,1.914,Kitoi-KRAA,0.100,10.0,,
Mitro,Peninsula,7/8/2022,July,8,2022,189,58,1.9064,Kitoi-KRAA,0.101,10.1,,
Rodman Reach,Kodiak,7/25/2022,July,25,2022,206,80,4.0072,Kitoi-KRAA,0.079,7.9,,
Fox,Peninsula,7/10/2022,July,10,2022,191,65,2.3007,PSWAC,0.076,7.6,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,54,1.4281,PWSAC,0.080,8.0,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,58,1.5612,PWSAC,0.081,8.1,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,60,1.7025,PWSAC,0.082,8.2,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,62,1.8541,PWSAC,0.082,8.2,,
Chief Cove,Shelikof,7/2/2022,July,2,2022,183,70,3.3889,PWSAC,0.087,8.7,,
Fox,Peninsula,7/10/2022,July,10,2022,191,59,1.4981,PWSAC,0.074,7.4,,
Fox,Peninsula,7/10/2022,July,10,2022,191,62,1.9775,PWSAC,0.075,7.5,,
Kiliuda,Kodiak,8/4/2022,Aug,4,2022,216,54,1.3195,PWSAC,0.053,5.3,,
Kiliuda,Kodiak,8/4/2022,Aug,4,2022,216,69,2.772,PWSAC,0.056,5.6,,
Agripina,Peninsula,7/4/2022,July,4,2022,185,66,2.1414,VFDA,0.108,10.8,,
Chief Cove,Shelikof,7/2/2022,July,2,2022,183,74,3.0395,VFDA,0.117,11.7,,
Fox,Peninsula,7/10/2022,July,10,2022,191,50,1.1991,VFDA,0.087,8.7,,
Fox,Peninsula,7/10/2022,July,10,2022,191,73,2.6692,VFDA,0.096,9.6,,
Mitro,Peninsula,7/8/2022,July,8,2022,189,55,1.7187,VFDA,0.093,9.3,,
ALB,Kodiak,7/15/2023,July,15,2023,196,62,2.2458,Kitoi-KRAA,0.092,9.2,,
ALB,Kodiak,7/15/2023,July,15,2023,196,70,3.0537,Kitoi-KRAA,0.094,9.4,,
ALB,Kodiak,7/15/2023,July,15,2023,196,73,3.5065,Kitoi-KRAA,0.095,9.5,,
ALB,Kodiak,7/15/2023,July,15,2023,196,75,3.3919,Kitoi-KRAA,0.096,9.6,,
ALB,Kodiak,8/17/2023,Aug,17,2023,229,76,3.8263,Kitoi-KRAA,0.058,5.8,,
ALB,Kodiak,8/17/2023,Aug,17,2023,229,85,4.9999,Kitoi-KRAA,0.060,6.0,,
ALB,Kodiak,8/17/2023,Aug,17,2023,229,85,5.4885,Kitoi-KRAA,0.060,6.0,,
ALB,Kodiak,8/17/2023,Aug,17,2023,229,85,5.7662,Kitoi-KRAA,0.060,6.0,,
ALB,Kodiak,8/17/2023,Aug,17,2023,229,87,5.7966,Kitoi-KRAA,0.060,6.0,,
ALB,Kodiak,8/18/2023,Aug,18,2023,230,75,3.8146,Kitoi-KRAA,0.057,5.7,,
ALB,Kodiak,8/18/2023,Aug,18,2023,230,82,4.8383,Kitoi-KRAA,0.058,5.8,,
ALB,Kodiak,8/18/2023,Aug,18,2023,230,82,5.5732,Kitoi-KRAA,0.058,5.8,,
ALB,Kodiak,8/18/2023,Aug,18,2023,230,85,5.681,Kitoi-KRAA,0.059,5.9,,
Cook,Kodiak,6/5/2023,June,5,2023,156,60,2.104,Kitoi-KRAA,0.423,42.3,,
Cook,Kodiak,8/19/2023,Aug,19,2023,231,65,2.3686,Kitoi-KRAA,0.055,5.5,,
Kiliuda,Kodiak,7/1/2023,July,1,2023,182,68,2.6975,PORTGRAHAM22A,0.270,27.0,,
Mitro,Peninsula,7/13/2023,July,13,2023,194,64,2.3646,Kitoi-KRAA,0.096,9.6,,
Point Wrangell,Peninsula,7/9/2023,July,5,2023,186,45,0.686,Kitoi-KRAA,0.107,10.7,,
Rodman Reach,Kodiak,7/5/2023,July,5,2023,186,77,3.5817,Kitoi-KRAA,0.120,12.0,,
